A,B,C,D,E
44.32,10.51,17.96,11.01,127.88
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
43.9,11.21,19.22,11.72,136.66
43.9,11.43,20.43,11.76,140.48
43.69,11.47,20.68,11.79,143.53
44.25,11.29,20.68,12.61,145.06
44.25,11.36,22.12,12.95,142.77
44.32,11.29,21.38,12.43,145.06
44.74,11.32,20.68,12.5,142.77
45.09,11.36,22.12,12.57,152.69
45.02,11.14,23.47,12.13,148.11
44.67,11.06,23.35,12.24,150.02
45.23,11.03,23.58,12.13,150.02
46.71,10.88,22.9,12.09,156.51
47.34,11.25,23.02,12.57,167.2
47.48,11.14,22.39,11.9,155.75
48.11,11.03,21.94,11.61,150.78
50.08,10.95,22.45,11.61,151.16
49.8,11.06,21.96,11.09,151.93
50.57,11.03,22.28,11.27,158.04
50.36,10.92,22.03,11.09,153.46
50.43,10.99,21.96,11.83,153.84
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
50.71,11.43,22.19,11.83,164.53
50.29,11.54,22.68,11.76,170.63
50.5,11.4,22.68,11.53,175.6
49.45,11.14,22.9,11.64,171.01
49.17,11.03,22.19,11.68,171.01
48.46,10.77,22.07,11.42,167.2
49.02,10.88,22.34,11.5,172.16
48.88,10.88,22.45,11.9,172.16
48.11,10.77,22.03,11.64,169.49
49.59,11.17,22.45,11.79,164.91
50.43,11.21,22.79,11.42,167.2
49.87,11.1,22.9,11.31,163.38
48.53,11.03,22.05,11.53,165.29
47.62,10.99,22.01,11.38,159.94
46.85,11.06,21.47,11.27,160.33
46,11.06,21.67,11.35,156.51
47.2,11.29,21.76,11.27,166.82
47.2,11.25,21.47,10.9,166.05
45.65,10.99,21.58,10.49,159.56
46.85,11.14,21.58,10.64,158.04
46.78,11.14,21.38,10.68,162.23
46.57,10.84,20.28,10.19,156.89
46.85,10.66,19.92,10.16,159.18
45.86,10.47,19.83,10.42,154.98
46.07,10.58,19.72,10.27,151.93
#N/A,#N/A,#N/A,#N/A,#N/A
43.55,10.36,19.27,10.75,156.51
43.12,10.33,19.54,10.75,158.8
42.91,10.22,19.13,10.34,154.6
43.27,10.44,19.65,10.94,153.46
42.63,10.58,19.83,10.83,155.75
42.42,10.4,19.74,10.86,158.04
43.05,10.66,20.05,11.31,163.76
42.35,10.51,20.07,11.01,164.14
42,10.47,19.9,10.6,155.36
42.35,10.44,19.87,10.53,152.69
42.63,10.7,20.01,10.64,151.55
42,10.77,19.29,10.57,141.24
42.42,11.1,19.04,10.27,145.06
42.49,10.88,18.77,10.01,149.64
42.21,10.99,19.22,10.42,149.64
42.21,11.03,18.88,10.16,146.97
42.63,11.29,18.79,9.97,139.33
42.28,11.29,18.86,9.75,142.77
#N/A,#N/A,#N/A,#N/A,#N/A
42.63,11.47,19.56,10.19,152.69
42.28,11.47,19.22,10.27,151.16
42.7,11.25,19.54,10.42,154.6
41.79,10.7,19.06,10.16,146.2
42.42,10.88,19.13,9.93,148.87
41.58,10.66,19,9.75,150.02
41.58,10.73,18.97,9.71,147.35
40.67,10.84,18.75,9.71,142
39.82,10.84,18.77,9.64,141.24
39.75,10.66,18.79,9.41,145.82
39.68,10.18,18.75,9.23,137.42
40.32,10.33,18.95,9.56,141.24
40.18,9.77,18.44,9,132.46
40.18,9.77,18.59,9.04,130.55
40.67,9.85,18.7,9.19,136.28
39.68,9.4,18.53,8.82,136.28
39.05,9.26,18.53,8.85,137.8
38.56,9.29,18.46,8.82,134.75
38.98,9.37,18.44,9,138.19
39.19,9.81,19.24,9.34,145.06
37.3,9.85,19.56,9.34,143.53
36.8,9.66,20.25,9.08,144.68
36.17,9.26,19.87,8.85,138.95
36.24,8.74,18.97,8.26,135.9
36.66,8.7,19.38,8.41,139.71
36.94,8.74,19.74,8.67,145.06
37.44,8.78,20.23,8.7,142.38
36.1,8.85,20.73,8.37,144.29
37.37,8.92,20.84,8.89,147.35
37.44,9.04,21.15,8.82,143.53
37.86,9.07,21.15,8.85,143.91
38.84,8.96,20.73,8.82,143.91
40.46,9.04,20.7,8.89,147.35
39.54,9.11,20.57,9.08,149.64
39.68,9.11,20.19,8.93,151.16
40.25,9.37,20.41,9.04,154.22
39.4,9.48,20.03,8.97,153.46
38.63,9.22,19.72,8.85,152.31
37.08,9.04,19.54,8.78,150.4
37.15,9.04,19.15,8.67,146.58
37.15,9,19.13,8.85,149.64
36.87,8.92,19.13,8.78,148.11
37.51,9.51,19.63,8.97,151.55
37.51,9.88,19.63,8.93,153.46
38.98,9.88,19.58,9.04,153.07
39.19,9.74,19.58,9.04,156.51
38.98,9.7,19.51,8.97,154.6
39.61,9.59,19.47,9,148.87
39.4,9.44,19.47,8.74,141.62
38.35,9.51,19.42,8.48,139.33
38.71,9.47,19.54,8.56,135.51
37.62,9.24,19.2,8.33,134.75
37.62,9.21,19.06,8.33,135.9
39.01,9.24,18.95,8.18,132.08
40.83,9.55,19,8.15,130.55
39.01,9.32,19.06,7.85,129.02
40.1,9.59,19.02,7.7,133.99
40.47,9.63,19.02,7.7,131.7
39.44,9.44,18.7,7.44,125.97
40.1,9.47,18.19,7.2,129.02
39.96,9.28,18.1,7.07,126.35
39.23,9.36,18.21,6.73,125.21
40.25,9.51,18.21,6.75,124.06
41.05,9.59,18.19,6.64,118.72
42.73,9.67,18.19,6.91,110.7
42.15,9.63,18.57,6.69,103.07
#N/A,#N/A,#N/A,#N/A,#N/A
41.64,9.51,18.53,6.23,104.98
42.73,9.74,18.62,6.11,104.59
43.1,9.74,18.55,6.15,104.98
43.46,9.78,18.66,6.53,107.65
44.48,9.86,18.93,6.64,113.76
44.63,9.74,19.09,6.67,114.14
44.19,9.59,19.02,6.9,113.76
44.41,9.59,19.2,6.92,116.05
44.12,9.55,19.29,6.9,113.76
43.46,9.47,19.78,6.87,116.81
42.73,9.55,19.87,6.76,116.05
42.22,9.32,19.54,6.7,114.52
43.1,9.36,19.51,7,113.76
42.66,9.24,19.47,7.31,115.28
42.66,9.36,19.45,7.22,115.28
42.15,9.32,19.24,7.01,121.39
41.93,9.24,19.22,6.88,119.1
41.78,9.24,19.09,6.76,116.43
41.56,9.24,19.31,6.87,115.66
41.05,9.24,19.36,6.92,117.24
41.12,9.21,19.36,6.76,118.03
40.69,9.17,19.51,6.84,120.01
40.76,9.17,19.6,7.11,121.59
39.66,8.97,19.69,7.22,118.82
39.01,8.94,19.74,7.08,111.32
39.44,9.05,19.6,7.48,111.32
40.39,9.28,19.67,8,109.74
40.1,9.28,19.72,8,108.95
41.2,9.21,19.72,8.41,115.27
41.12,9.21,19.81,8.04,112.51
42,9.4,20.61,8.59,114.48
42.37,9.44,20.41,8.41,119.22
42.29,9.36,20.88,8.67,120.4
43.02,9.44,20.73,8.48,119.22
42.73,9.36,20.43,8.11,120.01
42.88,9.44,20.46,8.52,119.61
42.95,9.32,20.57,8.48,118.43
42.88,9.32,20.43,8.44,112.9
